DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, down_qcdscale, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00044636285747401416" 
0, comb, down_qcdscale, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00032553664641454816" 
0, comb, down_qcdscale, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00030243967194110155" 
0, comb, down_qcdscale, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00025397795252501965" 
0, comb, down_qcdscale, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00046838301932439208" 
0, comb, down_qcdscale, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00057921570260077715" 
0, comb, down_qcdscale, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00032130363979376853" 
0, comb, down_statistic, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.027668232098221779" 
0, comb, down_statistic, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0084392856806516647" 
0, comb, down_statistic, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0068617588840425014" 
0, comb, down_statistic, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0061331354081630707" 
0, comb, down_statistic, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0057617779821157455" 
0, comb, down_statistic, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0058913840912282467" 
0, comb, down_statistic, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0089699840173125267" 
0, comb, down_statistic, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.038900665938854218" 
0, comb, down_statistic, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.10548628866672516" 
0, comb, down_statistic, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.011067292653024197" 
0, comb, down_statistic, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0033757141791284084" 
